id,年份,题号,题型,主考点,相关考点(背诵P/精讲P)
2015-42,2015,42,multi,抢劫罪,抢劫罪=140/424 | 盗窃罪=141/436 | 因果关系错误=None/96 | 事实认识错误=None/91 | 手段错误=29/96 | 对象错误=29/94 | 客体错误=29/92 | 因果关系=18/54
2015-43,2015,43,multi,死刑,死刑=53/202
2015-44,2015,44,multi,非法经营罪,组织出卖人体器官罪=127/377 | 非法经营罪=123/364 | 刑事责任=19/191
2015-45,2015,45,multi,缓刑,缓刑=70/236 | 管制=51/199
2016-1,2016,1,single,刑事责任,刑事责任=19/191 | 刑罚=47/195
2016-2,2016,2,single,罪责刑相适应原则,罪责刑相适应原则=8/18 | 罪刑法定原则=7/16 | 刑事责任=19/191 | 刑罚=47/195
2016-3,2016,3,single,刑罚,刑罚=47/195
2016-4,2016,4,single,敲诈勒索罪,敲诈勒索罪=143/451 | 非法拘禁罪=131/389 | 有期徒刑=52/201 | 拘役=52/200 | 罚金=54/204 | 管制=51/199
2016-5,2016,5,single,故意杀人罪,故意杀人罪=126/370 | 犯罪未遂=34/126 | 犯罪中止=35/130 | 犯罪既遂=33/119 | 犯罪预备=33/123 | 实害犯=33/127 | 着手=None/None
2016-6,2016,6,single,故意伤害罪,故意伤害罪=127/375 | 抢劫罪=140/424 | 无期徒刑=52/201 | 死刑=53/202 | 从犯=39/156
2016-7,2016,7,single,抢劫罪,抢劫罪=140/424
2016-8,2016,8,single,脱逃罪,脱逃罪=161/511 | 无期徒刑=52/201 | 重大立功=67/231 | 有期徒刑=52/201 | 坦白=66/221 | 立功=66/228 | 自首=62/221 | 刑罚=47/195
2016-9,2016,9,single,私放在押人员罪,私放在押人员罪=182/577 | 妨害公务罪=148/467
2016-10,2016,10,single,防卫过当,防卫过当=30/107 | 正当防卫=29/101
2016-11,2016,11,single,劫持航空器罪,劫持航空器罪=98/300 | 无期徒刑=52/201 | 拘役=52/200 | 死刑=53/202 | 主刑=None/199 | 罚金=54/204 | 刑罚=47/195 | 管制=51/199
2016-12,2016,12,single,交通肇事罪,以危险方法危害公共安全罪=94/282 | 妨害安全驾驶罪=97/298 | 过失致人重伤罪=None/503 | 故意伤害罪=127/375 | 交通肇事罪=95/289 | 危险驾驶罪=97/296 | 有期徒刑=52/201 | 拘役=52/200 | 罚金=54/204 | 醉酒=None/296 | 管制=51/199
2016-13,2016,13,single,诈骗罪,生产销售假药罪=None/None | 诈骗罪=141/444
2016-14,2016,14,single,徇私枉法罪,徇私枉法罪=None/None | 受贿罪=174/554
